,Dice score
92,0.9656190872192383
93,0.9753642678260803
94,0.978011429309845
95,0.9776821732521057
96,0.97260981798172
97,0.9732250571250916
98,0.9698496460914612
99,0.9769793152809143
100,0.9822771549224854
101,0.9646080136299133
102,0.964995801448822
103,0.9607863426208496
104,0.9593720436096191
105,0.9428436756134033
106,0.954642653465271
107,0.9068086743354797
108,0.9745956659317017
109,0.9722618460655212
110,0.9461246728897095
111,0.8847662806510925
112,0.9541757702827454
113,0.9600774645805359
114,0.9634499549865723
115,0.9463671445846558
116,0.9633168578147888
117,0.9702501893043518
118,0.9439208507537842
119,0.97927325963974
120,0.9732021689414978
121,0.9710891842842102
122,0.9778955578804016
123,0.9752794504165649
124,0.9670041799545288
125,0.9302739500999451
126,0.9778304100036621
127,0.9754565954208374
128,0.9167665243148804
129,0.9645059704780579
130,0.971216082572937
131,0.8726018071174622
132,0.8916620016098022
133,0.974335789680481
134,0.9702761769294739
135,0.9678759574890137
136,0.9747810363769531
137,0.9640593528747559
138,0.9712198972702026
139,0.9338839650154114
140,0.9762415289878845
141,0.9797146320343018
142,0.9510179758071899
143,0.9662781357765198
144,0.9552438259124756
145,0.9793294072151184
146,0.9638468623161316
147,0.9682916402816772
148,0.9653629660606384
149,0.9756708741188049
150,0.9748103618621826
151,0.9509360790252686
152,0.9355872273445129
153,0.9614395499229431
154,0.9776500463485718
155,0.9730836153030396
156,0.9818155765533447
157,0.9267421364784241
158,0.9675998091697693
159,0.9169210195541382
160,0.967370867729187
161,0.9719476699829102
162,0.9240854978561401
163,0.961683988571167
164,0.9574255347251892
165,0.9079168438911438
166,0.9754301309585571
167,0.9504197835922241
168,0.9277132153511047
169,0.9516969323158264
170,0.9663600325584412
171,0.9156906008720398
172,0.9738621711730957
173,0.9781152606010437
174,0.9623675346374512
175,0.9347626566886902
176,0.9095566272735596
177,0.9714252352714539
178,0.9656981229782104
179,0.9759804010391235
180,0.976852536201477
181,0.9277746677398682
182,0.9601418375968933
183,0.9647083282470703
184,0.9318065047264099
185,0.9427093863487244
186,0.9366163611412048
187,0.9633030295372009
188,0.9758557081222534
189,0.9783897399902344
190,0.9717594385147095
191,0.9290400743484497
192,0.9670892953872681
193,0.9761689901351929
194,0.9733597636222839
195,0.9767611026763916
196,0.9635647535324097
197,0.9673066139221191
198,0.9800133109092712
199,0.9669228196144104
200,0.8687562346458435
201,0.9496978521347046
202,0.9735838174819946
203,0.9622297286987305
204,0.9663323163986206
