,Dice score
124,0.9633731245994568
125,0.9285503029823303
126,0.9750951528549194
127,0.9737867116928101
128,0.9321432113647461
129,0.9610099792480469
130,0.9583850502967834
131,0.8027331233024597
132,0.852310836315155
133,0.9695360660552979
134,0.9690943956375122
135,0.9647058844566345
136,0.9691806435585022
137,0.9580997228622437
138,0.9653098583221436
139,0.9386210441589355
140,0.979380190372467
141,0.9793211817741394
142,0.9119794964790344
143,0.9692542552947998
144,0.948592483997345
145,0.9780448079109192
146,0.9661838412284851
147,0.96836256980896
148,0.9749019742012024
149,0.9775011539459229
150,0.9654715061187744
151,0.9647544026374817
152,0.9405926465988159
153,0.939223051071167
154,0.9781329035758972
155,0.9719427824020386
156,0.978337287902832
157,0.875817060470581
158,0.966523289680481
159,0.9397940039634705
160,0.9661701917648315
161,0.9743125438690186
162,0.9367485642433167
163,0.9538834691047668
164,0.9293795228004456
165,0.9325056672096252
166,0.9761351943016052
167,0.9358702301979065
168,0.9362025856971741
169,0.9570853114128113
170,0.9643955230712891
171,0.8740537166595459
172,0.9742836952209473
173,0.9707959294319153
174,0.9429706931114197
175,0.9426496624946594
176,0.896023154258728
177,0.9593427777290344
178,0.9605188965797424
179,0.9754409193992615
180,0.9718722701072693
181,0.9261863231658936
182,0.9511300921440125
183,0.9444289803504944
184,0.9468486905097961
185,0.9520536661148071
186,0.9521619081497192
187,0.9584928154945374
188,0.9744750261306763
189,0.9772680997848511
190,0.9577674865722656
191,0.9620219469070435
192,0.9644220471382141
193,0.9757508039474487
194,0.9745006561279297
195,0.9716068506240845
196,0.9545527696609497
197,0.9623407125473022
198,0.973137378692627
199,0.9561781287193298
200,0.8535699248313904
201,0.9434407353401184
202,0.9733464121818542
203,0.9689377546310425
204,0.9658990502357483
205,0.9727251529693604
206,0.9653704762458801
207,0.967789351940155
208,0.9323703646659851
209,0.9761766791343689
210,0.8423943519592285
211,0.9720220565795898
212,0.9664290547370911
213,0.960235059261322
214,0.9551598429679871
215,0.9617990851402283
216,0.9231126308441162
217,0.9668235778808594
218,0.9733420610427856
219,0.967635989189148
220,0.9449954628944397
221,0.9635259509086609
222,0.9627225995063782
223,0.9388148188591003
224,0.9787619113922119
225,0.9762768149375916
226,0.9632195830345154
227,0.9582860469818115
228,0.9763335585594177
229,0.9745591282844543
230,0.9758284687995911
231,0.9537911415100098
232,0.9736724495887756
233,0.9496896266937256
234,0.9637242555618286
235,0.9625657200813293
236,0.9628207087516785
237,0.9702901840209961
238,0.9516411423683167
239,0.9579781293869019
240,0.9587587714195251
241,0.9628429412841797
242,0.9578351378440857
243,0.9713161587715149
244,0.9567061066627502
245,0.9389668107032776
246,0.9196417927742004
247,0.924902081489563
248,0.9699438810348511
249,0.9252124428749084
250,0.8889458775520325
251,0.8848240971565247
252,0.9636263251304626
253,0.952919602394104
254,0.0
255,0.9537150859832764
256,0.924737811088562
257,0.9770641922950745
258,0.9409744739532471
259,0.9658923149108887
260,0.9689795970916748
261,0.967666506767273
262,0.9291903376579285
263,0.969618558883667
264,0.9792954921722412
265,0.9551364183425903
266,0.9719175696372986
267,0.9529419541358948
268,0.9572917222976685
269,0.9719631671905518
270,0.9663072824478149
271,0.9672157764434814
272,0.9532252550125122
273,0.8825729489326477
274,0.9120712280273438
275,0.9022025465965271
276,0.9579868912696838
277,0.9170176982879639
278,0.9352409243583679
279,0.9667790532112122
280,0.8638421893119812
281,0.9562823176383972
282,0.9745885729789734
283,0.9544496536254883
284,0.9188840389251709
285,0.9239721894264221
286,0.9364615082740784
287,0.9677994251251221
288,0.94516521692276
289,0.9181445240974426
290,0.9226706027984619
291,0.9417327642440796
292,0.9751096367835999
293,0.9374775886535645
294,0.9658440947532654
295,0.971993625164032
296,0.8938134908676147
297,0.9560730457305908
298,0.9677134156227112
299,0.9470804333686829
300,0.9568154215812683
301,0.9754208326339722
302,0.9710084199905396
303,0.971764326095581
304,0.928191602230072
305,0.9616849422454834
306,0.9346126914024353
307,0.9571876525878906
308,0.8091040253639221
309,0.8146318197250366
310,0.9587121605873108
311,0.9797670245170593
312,0.966133177280426
313,0.949339747428894
314,0.9759131073951721
315,0.9723455905914307
316,0.9590617418289185
317,0.9704506397247314
318,0.9618118405342102
319,0.9744041562080383
320,0.9691904783248901
