Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,ARD Version,Units,Collection Number,UL Corner Lat DMS,UL Corner Long DMS,UR Corner Lat DMS,UR Corner Long DMS,LR Corner Lat DMS,LR Corner Long DMS,LL Corner Lat DMS,LL Corner Long DMS,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,Display ID,Entity ID
LE07_CU_003012_20200321_20210504_02,2020/03/21,CU,3,12,2021/05/04,15.4711,8.2369,0.0348,20.3305,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200321_20210504_02,LE07_CU_003012_20200321_20210504_02
LC08_CU_003012_20200322_20210504_02,2020/03/22,CU,3,12,2021/05/04,8.9088,6.0473,0.1929,76.2907,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200322_20210504_02,LC08_CU_003012_20200322_20210504_02
LE07_CU_003012_20200328_20210504_02,2020/03/28,CU,3,12,2021/05/04,8.8724,3.8946,0.0003,94.2298,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200328_20210504_02,LE07_CU_003012_20200328_20210504_02
LC08_CU_003012_20200329_20210504_02,2020/03/29,CU,3,12,2021/05/04,14.1222,9.8494,0.0001,1.9357,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200329_20210504_02,LC08_CU_003012_20200329_20210504_02
LE07_CU_003012_20200330_20210504_02,2020/03/30,CU,3,12,2021/05/04,1.6275,1.5886,0.6041,78.8739,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200330_20210504_02,LE07_CU_003012_20200330_20210504_02
LC08_CU_003012_20200405_20210504_02,2020/04/05,CU,3,12,2021/05/04,72.8,6.5663,0.034,89.0836,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200405_20210504_02,LC08_CU_003012_20200405_20210504_02
LC08_CU_003012_20200407_20210504_02,2020/04/07,CU,3,12,2021/05/04,99.656,0.3311,0.0097,76.0395,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200407_20210504_02,LC08_CU_003012_20200407_20210504_02
LE07_CU_003012_20200413_20210504_02,2020/04/13,CU,3,12,2021/05/04,34.4589,2.3589,0.0001,94.2228,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200413_20210504_02,LE07_CU_003012_20200413_20210504_02
LC08_CU_003012_20200414_20210504_02,2020/04/14,CU,3,12,2021/05/04,3.9342,2.6908,0.2603,2.1702,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200414_20210504_02,LC08_CU_003012_20200414_20210504_02
LE07_CU_003012_20200415_20210504_02,2020/04/15,CU,3,12,2021/05/04,0.5719,0.6072,0.7523,78.8804,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200415_20210504_02,LE07_CU_003012_20200415_20210504_02
